idspecies,ecofunct_group,sourceid
50982,Detritovorous,17500
50983,Phytophagous,17500
50984,Phytophagous,17500
50985,Phytophagous,7272
50986,Detritovorous,7272
50987,Phytophagous,17500
50988,Phytophagous,17500
50989,Other,17500
50990,Phytophagous,17500
50991,Phytophagous,7272
50992,Detritovorous,7272
50993,Phytophagous,7272
50994,Phytophagous,7272
50995,Phytophagous,17500
50996,Parasite,17500
50997,Phytophagous,7272
50998,Parasite,17500
50999,Parasite,17500
51000,Parasite,17500
51001,Parasite,17500
51002,Parasite,17500
51003,Parasite,7272
51005,Phytophagous,17500
51006,Parasite,17500
51007,Phytophagous,7272
51008,Phytophagous,7272
51009,Phytophagous,7272
51010,Phytophagous,7272
51011,Phytophagous,7272
51012,Phytophagous,7272
51013,Phytophagous,7272
51014,Phytophagous,7272
51015,Parasite,17500
51016,Parasite,7272
51017,Parasite,7272
51018,Parasite,17500
51019,Phytophagous,17500
51020,Phytophagous,17500
51021,Phytophagous,17500
51022,Parasite,17500
51023,Detritovorous,17500
51024,Parasite,17500
51025,Parasite,17500
51026,Parasite,17500
51027,Parasite,17500
51028,Other,17500
51030,Other,17500
51031,Parasite,17500
51032,Parasite,7272
51033,Parasite,7272
51034,Phytophagous,17500
51035,Phytophagous,17500
51036,Detritovorous,17500
51037,Parasite,17500
51038,Parasite,17500
51039,Parasite,17500
51040,Parasite,17500
51041,Detritovorous,17500
51042,Parasite,17500
51044,Parasite,17500
51045,Parasite,17500
51047,Parasite,17500
51048,Parasite,17500
51049,Detritovorous,7272
51050,Detritovorous,7272
51051,Detritovorous,17500
51052,Phytophagous,17500
51053,Phytophagous,7272
51054,Parasite,7272
51055,Phytophagous,7272
51056,Parasite,7272
51057,Detritovorous,17500
51058,Parasite,7272
51059,Detritovorous,17500
51060,Phytophagous,7272
51061,Phytophagous,7272
51062,Phytophagous,7272
51063,Phytophagous,17500
51064,Phytophagous,7272
51065,Phytophagous,7272
51066,Phytophagous,7272
51067,Parasite,17500
51069,Phytophagous,7272
51070,Phytophagous,17500
51071,Phytophagous,17500
51072,Phytophagous,7272
51073,Phytophagous,7272
51074,Phytophagous,7272
51075,Detritovorous,17500
51077,Detritovorous,7272
51078,Phytophagous,7272
51079,Phytophagous,17500
51080,Phytophagous,7272
51081,Phytophagous,7272
51082,Parasite,17500
51083,Parasite,17500
51084,Phytophagous,7272
51085,Parasite,7272
51087,Phytophagous,7272
51088,Phytophagous,7272
51089,Phytophagous,7272
51092,Phytophagous,7272
51093,Parasite,7272
51094,Phytophagous,7272
51095,Phytophagous,7272
51096,Phytophagous,7272
51097,Parasite,7272
51098,Phytophagous,17500
51099,Phytophagous,7272
51100,Phytophagous,7272
51101,Phytophagous,7272
51102,Phytophagous,7272
51103,Phytophagous,7272
51104,Detritovorous,17500
51105,Phytophagous,7272
51106,Phytophagous,17500
51107,Phytophagous,17500
51108,Detritovorous,17500
51109,Phytophagous,7272
51110,Detritovorous,17500
51111,Phytophagous,17500
51112,Phytophagous,17500
51113,Phytophagous,17500
51114,Phytophagous,7272
51115,Predator,17500
51116,Phytophagous,7272
51117,Phytophagous,7272
51118,Phytophagous,7272
51119,Phytophagous,7272
51120,Phytophagous,7272
51121,Parasite,7272
51122,Phytophagous,7272
51123,Phytophagous,7272
51124,Phytophagous,7272
51125,Phytophagous,7272
51126,Phytophagous,17500
51127,Phytophagous,7272
51128,Detritovorous,17500
51129,Detritovorous,17500
51131,Detritovorous,17500
51135,Detritovorous,17500
51139,Parasite,17500
51140,Phytophagous,7272
51141,Parasite,7272
51142,Parasite,17500
51143,Phytophagous,17500
51144,Parasite,7272
51145,Phytophagous,7272
51146,Phytophagous,7272
51147,Parasite,7272
51148,Parasite,7272
51149,Parasite,7272
51150,Parasite,17500
51151,Phytophagous,7272
51152,Parasite,7272
51153,Parasite,7272
51154,Parasite,17500
51155,Phytophagous,7272
51156,Parasite,7272
51157,Phytophagous,7272
51158,Parasite,7272
51159,Phytophagous,7272
51160,Phytophagous,7272
51161,Phytophagous,7272
51163,Phytophagous,17500
51164,Phytophagous,7272
51165,Phytophagous,17500
51166,Phytophagous,17500
51167,Phytophagous,17500
51168,Phytophagous,7272
51169,Phytophagous,17500
51170,Phytophagous,7272
51171,Phytophagous,17500
51173,Phytophagous,7272
51174,Phytophagous,7272
51175,Phytophagous,7272
51176,Phytophagous,17500
51177,Phytophagous,7272
51178,Phytophagous,7272
51179,Phytophagous,7272
51180,Phytophagous,7272
51181,Phytophagous,17500
51182,Phytophagous,7272
51183,Phytophagous,17500
51184,Phytophagous,7272
51185,Phytophagous,7272
51186,Phytophagous,7272
51187,Phytophagous,7272
51188,Phytophagous,17500
51189,Phytophagous,7272
51190,Phytophagous,7272
51191,Phytophagous,17500
51192,Phytophagous,7272
51193,Parasite,7272
51194,Parasite,7272
51195,Parasite,7272
51196,Parasite,7272
51197,Phytophagous,7272
51198,Parasite,17500
51199,Parasite,17500
51200,Parasite,17500
51202,Phytophagous,7272
51204,Phytophagous,7272
51205,Phytophagous,17500
51206,Parasite,7272
51207,Phytophagous,7272
51208,Phytophagous,7272
51209,Phytophagous,7272
51210,Phytophagous,17500
51211,Phytophagous,17500
51212,Phytophagous,17500
51213,Phytophagous,7272
51214,Phytophagous,7272
51215,Phytophagous,7272
51216,Parasite,17500
51217,Phytophagous,17500
51218,Phytophagous,7272
51219,Phytophagous,7272
51220,Phytophagous,7272
51221,Phytophagous,7272
51222,Phytophagous,7272
51223,Parasite,17500
51224,Phytophagous,7272
51225,Phytophagous,17500
51226,Phytophagous,7272
51227,Phytophagous,7272
51228,Predator,7272
51229,Phytophagous,7272
51230,Phytophagous,17500
51231,Phytophagous,7272
51232,Parasite,17500
51233,Parasite,7272
51234,Phytophagous,7272
51235,Phytophagous,7272
51236,Phytophagous,17500
51237,Parasite,7272
51239,Phytophagous,7272
51240,Phytophagous,17500
51241,Phytophagous,17500
51242,Detritovorous,7272
51243,Detritovorous,17500
51244,Detritovorous,17500
51245,Detritovorous,17500
51246,Detritovorous,7272
51247,Detritovorous,17500
51248,Parasite,17500
51249,Detritovorous,17500
51250,Phytophagous,17500
51251,Parasite,17500
51252,Parasite,17500
51253,Phytophagous,7272
51254,Phytophagous,7272
51255,Parasite,17500
51256,Parasite,7272
51257,Phytophagous,7272
51258,Other,17500
51259,Parasite,17500
51260,Parasite,17500
51261,Parasite,17500
51262,Phytophagous,17500
51263,Detritovorous,17500
51264,Parasite,7272
51265,Phytophagous,17500
51266,Detritovorous,17500
51267,Phytophagous,17500
51268,Detritovorous,17500
51269,Parasite,17500
