id_sp_region,idspecies,vector2,sourceid,notes,last_updated
"100738","50374","Released",,"R","2005-11-01 00:00:00"
"100739","50374","Released",,"R","2005-11-01 00:00:00"
"100740","50374","Released",,"R","2005-12-13 00:00:00"
"100741","50375","Unknown",,"U ","2006-02-23 00:00:00"
"100742","50376","Escaped",,"E","2006-01-18 00:00:00"
"100743","50376","Unknown",,"U ","2006-02-20 00:00:00"
"100744","50376","Escaped",,"E","2005-11-22 00:00:00"
"100745","50376","Unknown",,"U ","2006-02-20 00:00:00"
"100746","50376","Escaped",,"E","2005-12-14 00:00:00"
"100747","50376","Escaped",,"E","2005-12-14 00:00:00"
"100748","50376","Unknown",,"U ","2005-11-03 00:00:00"
"100749","50376","Escaped",,"E","2005-10-27 00:00:00"
"100750","50376","Unknown",,"U ","2005-11-03 00:00:00"
"100751","50376","Escaped",,"E","2005-12-14 00:00:00"
"100752","50376","Escaped",,"E","2005-11-22 00:00:00"
"100753","50376","Escaped",,"E","2005-12-14 00:00:00"
"100754","50376","Escaped",,"E","2005-10-27 00:00:00"
"100755","50376","Escaped",,"E","2005-12-14 00:00:00"
"100756","50376","Escaped",,"E","2005-12-14 00:00:00"
"100757","50376","Unknown",,"U ","2006-02-20 00:00:00"
"100758","50376","Escaped",,"E","2005-12-14 00:00:00"
"100759","50376","Escaped",,"E","2005-10-27 00:00:00"
"100760","50376","Escaped",,"E","2005-12-14 00:00:00"
"100761","50377","Escaped",,"E","2005-10-27 00:00:00"
"100762","50378","Escaped",,"E","2005-11-20 00:00:00"
"100763","50378","Transport",,"T","2006-01-22 00:00:00"
"100764","50378","Unknown",,"U","2006-02-07 00:00:00"
"100765","50379","Released",,"R","2006-04-06 00:00:00"
"100766","50380","Unknown",,"U","2006-02-20 00:00:00"
"100767","50380","Unknown",,"U","2006-02-20 00:00:00"
"100768","50380","Unknown",,"U","2006-04-06 00:00:00"
"100769","50380","Unknown",,"U","2006-02-20 00:00:00"
"100770","50381","Unknown",,"U","2006-02-20 00:00:00"
"100771","50381","Unknown",,"U","2006-11-27 00:00:00"
"100772","50381","Unknown",,"U","2006-11-27 00:00:00"
"100773","50382","Released",,"R","2006-01-18 00:00:00"
"100774","50382","Unknown",,"U","2006-02-05 00:00:00"
"100775","50382","Unknown",,"U","2005-11-22 00:00:00"
"100776","50382","Unknown",,"U","2006-02-23 00:00:00"
"100777","50382","Released",,"R","2006-09-19 00:00:00"
"100778","50382","Escaped",,"E","2006-10-03 00:00:00"
"100779","50382","Unknown",,"U","2006-04-06 00:00:00"
"100780","50382","Unknown",,"U","2006-04-23 00:00:00"
"100781","50382","Escaped",,"E","2006-02-07 00:00:00"
"100782","50382","Dispersed",,"D","2006-10-03 00:00:00"
"100783","50382","Unknown",,"U","2006-03-05 00:00:00"
"100784","50382","Unknown",,"U","2006-02-05 00:00:00"
"100785","50382","Escaped",,"E","2006-10-03 00:00:00"
"100786","50382","Escaped",,"E,R","2005-11-26 00:00:00"
"100786","50382","Released",,"E,R","2005-11-26 00:00:00"
"100787","50383","Escaped",,"E,R","2005-11-26 00:00:00"
"100787","50383","Released",,"E,R","2005-11-26 00:00:00"
"100788","50384","Unknown",,"U","2006-11-17 00:00:00"
"100789","50384","Unknown",,"U","2006-11-17 00:00:00"
"100790","50384","Unknown",,"U ","2006-11-17 00:00:00"
"100791","50384","Released",,"R","2006-11-17 00:00:00"
"100792","50384","Unknown",,"U","2006-11-17 00:00:00"
"100793","50384","Released",,"R","2006-11-17 00:00:00"
"100794","50384","Unknown",,"U","2006-11-17 00:00:00"
"100795","50384","Released",,"R","2006-11-17 00:00:00"
"100796","50384","Released",,"R","2006-11-17 00:00:00"
"100797","50384","Released",,"R","2006-11-17 00:00:00"
"100798","50384","Released",,"R","2006-11-17 00:00:00"
"100799","50384","Released",,"R","2006-11-17 00:00:00"
"100800","50384","Released",,"R","2006-11-17 00:00:00"
"100801","50384","Unknown",,"U","2006-11-17 00:00:00"
"100802","50384","Unknown",,"U","2006-11-17 00:00:00"
"100803","50384","Released",,"R","2006-11-17 00:00:00"
"100804","50384","Unknown",,"U","2006-11-17 00:00:00"
"100805","50384","Unknown",,"U","2006-11-17 00:00:00"
"100806","50384","Unknown",,"U","2006-11-17 00:00:00"
"100807","50384","Released",,"R","2006-11-17 00:00:00"
"100808","50384","Unknown",,"U","2006-11-17 00:00:00"
"100809","50384","Released",,"R","2006-10-03 00:00:00"
"100811","50385","Unknown",,"U","2006-03-07 00:00:00"
"100814","50388","Unknown",,"U","2006-04-06 00:00:00"
"100815","50389","Escaped",,"E","2006-05-03 00:00:00"
"100817","50390","Unknown",,"U","2005-11-02 00:00:00"
"100818","50390","Unknown",,"U ","2006-04-06 00:00:00"
"100819","50390","Unknown",,"U ","2006-04-06 00:00:00"
"100820","50390","Escaped",,"E","2005-12-15 00:00:00"
"100821","50390","Unknown",,"U ","2006-02-23 00:00:00"
"100822","50391","Unknown",,"U","2006-02-23 00:00:00"
"100823","50391","Unknown",,"U","2005-12-19 00:00:00"
"100824","50391","Escaped",,"E","2005-12-01 00:00:00"
"100825","50392","Unknown",,"U","2006-02-23 00:00:00"
"100826","50392","Unknown",,"U","2005-12-15 00:00:00"
"100827","50392","Unknown",,"U","2006-04-06 00:00:00"
"100828","50392","Unknown",,"U","2005-11-03 00:00:00"
"100829","50392","Unknown",,"U","2005-11-03 00:00:00"
"100830","50393","Unknown",,"U","2006-02-23 00:00:00"
"100831","50393","Unknown",,"U","2006-04-06 00:00:00"
"100832","50393","Unknown",,"U","2006-02-23 00:00:00"
"100833","50393","Unknown",,"U","2005-12-19 00:00:00"
"100834","50394","Unknown",,"U","2005-10-27 00:00:00"
"100835","50395","Unknown",,"U","2005-10-27 00:00:00"
"100836","50395","Unknown",,"U","2005-10-27 00:00:00"
"100837","50396","Unknown",,"U","2006-04-06 00:00:00"
"100838","50397","Unknown",,"U","2006-02-23 00:00:00"
"100839","50397","Unknown",,"U","2006-02-23 00:00:00"
"100840","50397","Unknown",,"U","2005-10-27 00:00:00"
"100841","50397","Unknown",,"U","2006-04-06 00:00:00"
"100842","50397","Unknown",,"U","2005-10-27 00:00:00"
"100843","50397","Unknown",,"U","2006-02-23 00:00:00"
"100844","50398","Released",,"R","2006-04-06 00:00:00"
"100845","50399","Released",,"R","2006-04-06 00:00:00"
"100846","50400","Released",,"R","2006-02-23 00:00:00"
"100847","50400","Unknown",,"U","2006-02-23 00:00:00"
"100848","50400","Unknown",,"U","2006-04-06 00:00:00"
"100849","50400","Unknown",,"U","2005-12-13 00:00:00"
"100851","50400","Released",,"R","2005-11-01 00:00:00"
"100852","50400","Unknown",,"U","2005-12-13 00:00:00"
"100853","50401","Released",,"R","2006-05-03 00:00:00"
"100854","50401","Released",,"R","2005-12-14 00:00:00"
"100855","50402","Escaped",,"E","2005-11-07 00:00:00"
"100856","50403","Released",,"R","2005-10-27 00:00:00"
"100857","50404","Escaped",,"E","2006-01-22 00:00:00"
"100859","50406","Unknown",,"U","2005-11-20 00:00:00"
"100860","50407","Unknown",,"U","2006-04-06 00:00:00"
"100862","50409","Released",,"R","2006-05-03 00:00:00"
"100863","50410","Unknown",,"U ","2006-02-20 00:00:00"
"100864","50410","Escaped",,"E","2006-01-22 00:00:00"
"100865","50410","Unknown",,"U ","2006-02-20 00:00:00"
"100866","50411","Unknown",,"U ","2006-02-20 00:00:00"
"100867","50411","Unknown",,"U ","2006-02-20 00:00:00"
"100868","50412","Unknown",,"U ","2006-02-20 00:00:00"
"100869","50412","Unknown",,"U ","2006-02-23 00:00:00"
"100870","50412","Escaped",,"E","2006-01-22 00:00:00"
"100871","50413","Unknown",,"U","2006-05-03 00:00:00"
"100872","50414","Escaped",,"E","2006-05-03 00:00:00"
"100873","50414","Escaped",,"E ","2006-01-22 00:00:00"
"100874","50415","Released",,"R","2006-02-23 00:00:00"
"100875","50415","Escaped",,"E","2006-04-06 00:00:00"
"100876","50415","Unknown",,"U","2006-02-23 00:00:00"
"100877","50415","Released",,"R","2005-12-15 00:00:00"
"100879","50416","Unknown",,"U","2005-10-27 00:00:00"
"100880","50417","Unknown",,"U","2006-02-23 00:00:00"
"100881","50417","Unknown",,"U","2005-10-27 00:00:00"
